location_type,dump_event,load_event
Crusher,50418,79
Haul Road / Other,44611,8196
Pit 1,0,80157
Pit 2,0,140700
Pit 3,0,31879
Stockpile 1,4530,25047
Stockpile 2,1412,10892
Stockpile 3,537,0
