device_id,timestamp_start,timestamp_end,cpd_confidence_score,detection_method,created_at,raw_data_points,change_point_index,raw_event_hash_id
lake-605-10-0050,2025-07-30 00:00:50+00,2025-07-30 00:00:50+00,,polars_single_test,2025-09-04 17:17:40.730153+00,,,cc7b25179ba830fc148f5b88c72485e7349ff4bcbca45cd8a75238c8d2c13f35
lake-605-10-0050,2025-07-30 00:07:10+00,2025-07-30 00:07:10+00,,polars_single_test,2025-09-04 17:17:40.730155+00,,,e9448e2a0ad59367fc85db25850c8c3aa89c2ab216861d151251407ba8eb1e04
lake-605-10-0050,2025-07-30 00:08:00+00,2025-07-30 00:08:00+00,,polars_single_test,2025-09-04 17:17:40.730156+00,,,b611815ff9482c1a3149f3a8e958ea2a64679549f25d443b9539b23d11715e59
lake-605-10-0050,2025-07-30 00:09:15+00,2025-07-30 00:09:15+00,,polars_single_test,2025-09-04 17:17:40.730156+00,,,bf9cb7a78da1e3dc55c3c42c5674affdfce386608e15ac07fc2211895d06b99b
lake-605-10-0050,2025-07-30 00:10:05+00,2025-07-30 00:10:05+00,,polars_single_test,2025-09-04 17:17:40.730156+00,,,a75dcccff6ddbc7a227af6b51871f3df893b3db28409245d71a7edaa053caa6b
lake-605-10-0050,2025-07-30 00:11:00+00,2025-07-30 00:11:00+00,,polars_single_test,2025-09-04 17:17:40.730157+00,,,b2f79e2b8dc3837ccb1977e46d02fc6b7df8d720659667a6afb073b226c6895e
lake-605-10-0050,2025-07-30 00:11:55+00,2025-07-30 00:11:55+00,,polars_single_test,2025-09-04 17:17:40.730157+00,,,1d5b82b8204bcb9723971d76afbb8eaa792579ea8a4e96f903bc48aab799f7a1
lake-605-10-0050,2025-07-30 11:16:30+00,2025-07-30 11:16:30+00,,polars_single_test,2025-09-04 17:17:40.730157+00,,,676e59ed9665eae369283a731d6cb8de5bd840acf59c67d0e874220b1ce49363
lake-605-10-0050,2025-07-30 11:38:55+00,2025-07-30 11:38:55+00,,polars_single_test,2025-09-04 17:17:40.730158+00,,,e8375302d943dc5b8d59918608616d3a526d9d34dac9b602bc61d6dd9dfefbb1
lake-605-10-0050,2025-07-30 11:43:25+00,2025-07-30 11:43:25+00,,polars_single_test,2025-09-04 17:17:40.730158+00,,,0796df41c86faaeced9dcbdb81f829353dac8a8cbb01fa2344a86e5615cdb522
lake-605-10-0050,2025-07-30 11:44:40+00,2025-07-30 11:44:40+00,,polars_single_test,2025-09-04 17:17:40.730158+00,,,deb0951ce270d6e82548432f70d1f8e2ad36c8b2912d47856f67c38e7a04cdc9
lake-605-10-0050,2025-07-30 11:45:30+00,2025-07-30 11:45:30+00,,polars_single_test,2025-09-04 17:17:40.730159+00,,,107cd30e6e82896954238aef9af3e4afe36d7452f598dda94964dc7b9006b95a
lake-605-10-0050,2025-07-30 11:46:20+00,2025-07-30 11:46:20+00,,polars_single_test,2025-09-04 17:17:40.730159+00,,,8332d760ba3c9b7648f054e55cb4b1a9e4dcc5a0f7e2737c6b913a96086302d5
lake-605-10-0050,2025-07-30 11:50:55+00,2025-07-30 11:50:55+00,,polars_single_test,2025-09-04 17:17:40.730159+00,,,6d678913c1a70a97d432dfc31526fc0f72b0e47c6d1a93805a29f8979d3ddd09
lake-605-10-0050,2025-07-30 11:51:45+00,2025-07-30 11:51:45+00,,polars_single_test,2025-09-04 17:17:40.730159+00,,,984929cfb567040845fbb76cb64732b4d20dc16ea7aed903f819b1037b9ede90
lake-605-10-0050,2025-07-30 11:52:35+00,2025-07-30 11:52:35+00,,polars_single_test,2025-09-04 17:17:40.73016+00,,,117fd6e36d95455d013760077069dec4dbebdfa752a14c8031bea1ffac8702db
lake-605-10-0050,2025-07-30 11:53:35+00,2025-07-30 11:53:35+00,,polars_single_test,2025-09-04 17:17:40.73016+00,,,572e1a5cc0ec3cfd479767272f62664b3c7494fe603942c3d047e3b3be19cfdf
lake-605-10-0050,2025-07-30 11:54:25+00,2025-07-30 11:54:25+00,,polars_single_test,2025-09-04 17:17:40.73016+00,,,5edbb7af013b6f385fe13fd558b1991e36bf9e7d5555c67b75419dd36948aee4
lake-605-10-0050,2025-07-30 12:16:10+00,2025-07-30 12:16:10+00,,polars_single_test,2025-09-04 17:17:40.73016+00,,,a03e3d01ba65d5d85abe7b633ea3673f2e0afdd66b5b9a7b02d8d3cc9d8fe480
lake-605-10-0050,2025-07-30 12:17:00+00,2025-07-30 12:17:00+00,,polars_single_test,2025-09-04 17:17:40.730161+00,,,6e3f657459d26c7f6dcc9b296c1c747983315e5d97288e1da562da76b664c7ec
lake-605-10-0050,2025-07-30 12:18:20+00,2025-07-30 12:18:20+00,,polars_single_test,2025-09-04 17:17:40.730161+00,,,159d701ec3066427c4412b087fa5ea976111428e857659c4c430ae8eaad108bb
lake-605-10-0050,2025-07-30 12:19:20+00,2025-07-30 12:19:20+00,,polars_single_test,2025-09-04 17:17:40.730161+00,,,16a152ba67c75e73cf7d16ac13fc75b92b2fcdce28c1f9a7a5cdf5a49e58c06b
lake-605-10-0050,2025-07-30 12:20:15+00,2025-07-30 12:20:15+00,,polars_single_test,2025-09-04 17:17:40.730161+00,,,964b855226953f14128d55c450c34f7993e7ee8c1761ecef2714bf85a8a08341
lake-605-10-0050,2025-07-30 12:21:15+00,2025-07-30 12:21:15+00,,polars_single_test,2025-09-04 17:17:40.730162+00,,,c322b5508e8a4d7fa98b72d835038aacfdbd5ccb96122a74698d53880c7b72e4
lake-605-10-0050,2025-07-30 12:22:05+00,2025-07-30 12:22:05+00,,polars_single_test,2025-09-04 17:17:40.730162+00,,,5a525a93a4f1030add64bb821e90da1701c7526f60b93f1b603ffa5f02d1a07b
lake-605-10-0050,2025-07-30 12:29:50+00,2025-07-30 12:29:50+00,,polars_single_test,2025-09-04 17:17:40.730162+00,,,1f0ecf9da809c3a02b7184b50d879a8e9af1fa85629dd7808f190e8baf65f70f
lake-605-10-0050,2025-07-30 12:30:40+00,2025-07-30 12:30:40+00,,polars_single_test,2025-09-04 17:17:40.730162+00,,,457602cbd31f39bdc0e092873396fed46f5c5c56921bb1fe3ce023a5747fd407
lake-605-10-0050,2025-07-30 12:31:30+00,2025-07-30 12:31:30+00,,polars_single_test,2025-09-04 17:17:40.730163+00,,,c7f68ef2dcf535db6bb8b9a6b1ae931882e57629732d711ec0e3bd3ccb15ff3b
lake-605-10-0050,2025-07-30 12:32:55+00,2025-07-30 12:32:55+00,,polars_single_test,2025-09-04 17:17:40.730163+00,,,c4e5332327dd4ec2c05fc42864acf14c36b1c438902fe520d6ec4b5fa303e3c9
lake-605-10-0050,2025-07-30 12:33:45+00,2025-07-30 12:33:45+00,,polars_single_test,2025-09-04 17:17:40.730163+00,,,8d5920d0600305f597244f317199063038e63a58162713226602801705743101
lake-605-10-0050,2025-07-30 12:34:35+00,2025-07-30 12:34:35+00,,polars_single_test,2025-09-04 17:17:40.730163+00,,,31f3246db8bdc4337666a9a75d3674deabf46f2405e11041cd76dc3b12c77cfc
lake-605-10-0050,2025-07-30 12:36:00+00,2025-07-30 12:36:00+00,,polars_single_test,2025-09-04 17:17:40.730164+00,,,01bdd569a04991a0381830abdc9e3c43d3a16afbab6a036d9d97668dbe81ad3e
lake-605-10-0050,2025-07-30 12:36:50+00,2025-07-30 12:36:50+00,,polars_single_test,2025-09-04 17:17:40.730164+00,,,f99c7af7798fa2eb296bf5731e540dfb4c5c863b860a7ee63f0f642e7d6426ea
lake-605-10-0050,2025-07-30 12:37:40+00,2025-07-30 12:37:40+00,,polars_single_test,2025-09-04 17:17:40.730164+00,,,dec74c50fd6e517feec9667229193e4a26c17ecd098189a0f22b539337234cd4
lake-605-10-0050,2025-07-30 12:39:00+00,2025-07-30 12:39:00+00,,polars_single_test,2025-09-04 17:17:40.730164+00,,,df157933832b024f7733bf50582e12926110b0d57f7ad541cc368c28b7ea3ab6
lake-605-10-0050,2025-07-30 12:40:15+00,2025-07-30 12:40:15+00,,polars_single_test,2025-09-04 17:17:40.730165+00,,,a5e1028c08a4a4bf68fb546df26ac8c8b70aea30005cb0bbed4f1e917ea37007
lake-605-10-0050,2025-07-30 12:41:05+00,2025-07-30 12:41:05+00,,polars_single_test,2025-09-04 17:17:40.730165+00,,,08e3b3f6370cd76aa5c22d691094587d8ae92d2703b172177e271382a7984cad
lake-605-10-0050,2025-07-30 12:42:20+00,2025-07-30 12:42:20+00,,polars_single_test,2025-09-04 17:17:40.730165+00,,,f352edcd0045869d13b567953cffb23b0d9f675aeec3a652fb6adcbe90c3b285
lake-605-10-0050,2025-07-30 12:43:25+00,2025-07-30 12:43:25+00,,polars_single_test,2025-09-04 17:17:40.730165+00,,,3f4d45e3cbc57731052ca11506d7dd80856aa89d98474f02c3c36068bbbbd3d6
